name	address	latitude	longitude	phone	workingTime	province
LiveBank Ngọc Khánh Ba Đình (CRM/CDM)	27 Nguyễn Chí Thanh, Q.Ba Đình, Hà Nội	21.0292058625034	105.812796513245	1900585885		
LiveBank Nguyễn Thái Học Ba Đình (CRM/CDM)	152 Nguyễn Thái Học, phường Kim Mã, quận Ba Đình, TP.Hà Nội	21.0323719174281	105.83003783103	1900585885		
LiveBank Đội Cấn Ba Đình (CRM/CDM)	Số 164A Đội Cấn, phường Đội Cấn, quận Ba Đình, TP.Hà Nội	21.0348431586046	105.825584385239	1900585885		
LiveBank Cửa Nam Ba Đình (CRM/CDM)	Tầng 1 Tòa nhà Doji Tower, Số 5 Lê Duẩn, phường Cửa Nam, quận Ba Đình, TP.Hà Nội	21.0289875795685	105.841598411414	1900585885		
LiveBank Núi Trúc Ba Đình (CRM/CDM)	Số 57B Núi Trúc, phường Kim Mã, quận Ba Đình, TP.Hà Nội	21.0300794911495	105.822700217747	1900585885		
LiveBank Hoàng Hoa Thám Ba Đình (CRM/CDM)	Số 131 Hoàng Hoa Thám, phường Ngọc Hà, quận Ba Đình, TP.Hà Nội	21.0403288059335	105.825552561317	1900585885		
LiveBank Vĩnh Phúc Ba Đình (CRM/CDM)	Số 22 ngõ 6 đường Vĩnh Phúc, phường Vĩnh Phúc, quận Ba Đình, TP.Hà Nội	21.0443450926642	105.80862057094	1900585885		
LiveBank Cửa Bắc Ba Đình (CRM/CDM)	Số 63 Cửa Bắc, phường Trúc Bạch, quận Ba Đình, TP.Hà Nội	21.0428481449802	105.84278375711	1900585885		
LiveBank Đốc Ngữ Ba Đình (CRM/CDM)	Số 140 Đốc Ngữ, phường Vĩnh Phúc, quận Ba Đình, TP.Hà Nội	21.0382381650383	105.812821659537	1900585885		
TPBank Đội Cấn	Số 155 Đội Cấn, phường Đội Cấn, quận Ba Đình, TP.Hà Nội	21.0349598440631	105.826307128201	1900585885		
TPBank Phạm Hùng	Tầng 1 Tòa nhà FPT, P. Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội	21.030868657399996	105.78265693835681	1900585885		
LiveBank Green Star Bắc Từ Liêm (CRM/CDM)	Tầng 1 nhà B5, Chung cư Green Star, số 234 Phạm Văn Đồng, phường Cổ Nhuế, quận Bắc Từ Liêm, TP.Hà Nội	21.052976455632013	105.77987753082951	1900585885		
LiveBank Trần Đăng Ninh Cầu Giấy (CRM/CDM)	Chung cư A5, Làng quốc tế Thăng Long, đường Trần Đăng Ninh, phường Dịch Vọng, quận Cầu Giấy, TP.Hà Nội	21.0387517	105.790079	1900585885		
LiveBank Đông Quan Cầu Giấy (CRM/CDM)	Số 15 Đông Quan, phường Quan Hoa, quận Cầu Giấy, TP.Hà Nội	21.03973543921621	105.80491693124249	1900585885		
LiveBank Goldmark City Bắc Từ Liêm (CRM/CDM)	Số 190 Hoàng Công Chất, phường Cầu Diễn, quận Bắc Từ Liêm, TP.Hà Nội	21.043574524025235	105.76574187150605	1900585885		
LiveBank Hoàng Quốc Việt Cầu Giấy (CRM/CDM)	Số 32 Hoàng Quốc Việt, phường Nghĩa Đô, quận Cầu Giấy, TP.Hà Nội	21.04645520689199	105.79790468126467	1900585885		
LiveBank Yên Hòa Cầu Giấy (CRM/CDM)	Số 191 Yên Hòa, phường Yên Hòa, quận Cầu Giấy, TP.Hà Nội	21.023480078871476	105.79319471359584	1900585885		
LiveBank FPT Tôn Thất Thuyết Cầu Giấy (CRM/CDM)	Tòa nhà Detech số 08 Tôn Thất Thuyết, phường Dịch Vọng Hậu, quận Cầu Giấy, TP.Hà Nội	21.028537118550506	105.78209125781125	1900585885		
